system:index,CECSOL_BiomassCutScaled,CHELSA_bio10_12_BiomassCutScaled,CHELSA_bio10_15_BiomassCutScaled,CHELSA_bio10_7_BiomassCutScaled,CLYPPT_BiomassCutScaled,ORCDRC_BiomassCutScaled,PETyr_BiomassScaled,PHIHOX_BiomassCutScaled,SLTPPT_BiomassCutScaled,Snow_newValues_WGS84,elevation_BiomassScaled,.geo
00000000000000000d6c_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d6d_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d6e_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d6f_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d70_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d71_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d72_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
00000000000000000d73_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
0000000000000000103f_0,-0.2934185,1.3761846,3.2617266,0.19771588,0.8903059,-0.63427377,0.19225737,0.029869732,0.40002766,0.0,3.8524575,
00000000000000001040_0,-0.2934185,1.3761846,3.2617266,0.19771588,0.8903059,-0.63427377,0.19225737,0.029869732,0.40002766,0.0,3.8524575,
00000000000000001041_0,-0.2934185,1.3761846,3.2617266,0.19771588,0.8903059,-0.63427377,0.19225737,0.029869732,0.40002766,0.0,3.8524575,
00000000000000001042_0,-0.2934185,1.3761846,3.2617266,0.19771588,0.8903059,-0.63427377,0.19225737,0.029869732,0.40002766,0.0,3.8524575,
00000000000000001043_0,-0.2934185,1.3761846,3.2617266,0.19771588,0.8903059,-0.63427377,0.19225737,0.029869732,0.40002766,0.0,3.8524575,
00000000000000000893_0,-0.050141368,0.082850374,-0.46353438,-0.012284012,1.0749416,-0.48379862,-0.3080491,0.0074021104,0.6068622,0.0,0.14725874,
00000000000000000895_0,0.0042475965,-0.032272562,-0.51255095,-0.012284012,1.2418166,-0.40959498,-0.24840993,0.34530967,0.5433908,0.0,0.0126530565,
00000000000000000896_0,0.0042475965,-0.032272562,-0.51255095,-0.012284012,1.2418166,-0.40959498,-0.24840993,0.34530967,0.5433908,0.0,0.0126530565,
000000000000000008a2_0,0.0042475965,-0.032272562,-0.51255095,-0.012284012,1.2418166,-0.40959498,-0.24840993,0.34530967,0.5433908,0.0,0.0126530565,
