system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
000000000000000006a4_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a5_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a6_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a7_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a8_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a9_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006aa_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ab_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ac_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ad_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ae_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006af_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b0_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b1_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b2_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b3_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b4_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b5_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b6_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b7_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
